male,pclass_1,pclass_2,pclass_3,age_above_30,has_family,survived
0,1,0,0,1,0,0
0,0,0,1,0,1,0
0,1,0,0,0,0,1
0,0,0,1,1,0,0
1,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,1,1
1,0,0,1,0,1,0
1,0,0,1,1,0,1
0,0,0,1,0,1,1
0,1,0,0,1,1,0
1,1,0,0,1,1,0
1,0,0,1,0,0,0
0,1,0,0,1,1,0
0,0,0,1,1,0,0
0,0,1,0,1,1,0
1,1,0,0,1,1,1
1,1,0,0,1,0,0
1,0,0,1,1,1,0
0,0,0,1,1,0,1
0,1,0,0,0,1,0
1,0,1,0,1,1,1
0,0,0,1,0,1,1
1,1,0,0,1,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,0,0,1,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,1
0,1,0,0,1,0,0
1,1,0,0,0,1,0
1,0,1,0,1,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,0,0,1,1,0
0,0,0,1,1,1,0
1,0,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
1,0,1,0,1,0,1
0,1,0,0,1,0,1
1,0,1,0,1,1,1
1,1,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,1,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,1,0,1,1
1,0,1,0,0,1,0
1,1,0,0,1,1,0
0,1,0,0,1,0,0
0,0,0,1,1,0,1
0,1,0,0,1,1,0
1,0,0,1,0,1,1
0,1,0,0,1,0,1
0,0,1,0,1,0,1
0,0,0,1,1,1,0
0,1,0,0,1,1,0
1,1,0,0,1,0,1
1,0,0,1,0,0,0
0,0,0,1,0,1,0
0,0,1,0,0,0,0
0,0,1,0,0,0,1
1,0,0,1,1,0,1
0,1,0,0,0,1,0
1,0,1,0,0,1,0
0,0,1,0,0,1,0
1,0,1,0,1,0,0
0,0,1,0,1,1,1
1,0,1,0,1,1,1
0,0,1,0,0,1,0
1,0,1,0,1,1,1
0,0,1,0,0,1,0
1,1,0,0,0,1,0
1,0,0,1,1,0,1
1,0,0,1,1,1,0
1,0,0,1,0,0,0
1,0,0,1,0,1,0
0,0,1,0,1,0,0
1,0,1,0,1,1,1
1,0,0,1,0,0,0
1,1,0,0,0,1,0
0,1,0,0,0,0,1
0,0,1,0,0,1,0
0,0,0,1,1,1,0
0,0,0,1,0,0,1
0,1,0,0,1,0,0
0,0,1,0,0,1,1
1,0,1,0,1,1,1
1,0,1,0,1,0,1
1,0,0,1,1,0,0
0,0,0,1,1,0,0
1,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,1,0,1,1,0
1,0,1,0,0,1,0
